file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,198,css,53c41710,Nomin Batjargal,2025-02-08,23:15:57,-08:00,2025-02-08T23:15:57-08:00,0,0
style.css,199,css,53c41710,Nomin Batjargal,2025-02-08,23:15:57,-08:00,2025-02-08T23:15:57-08:00,0,11
style.css,200,css,53c41710,Nomin Batjargal,2025-02-08,23:15:57,-08:00,2025-02-08T23:15:57-08:00,0,14
style.css,201,css,53c41710,Nomin Batjargal,2025-02-08,23:15:57,-08:00,2025-02-08T23:15:57-08:00,0,15
style.css,202,css,53c41710,Nomin Batjargal,2025-02-08,23:15:57,-08:00,2025-02-08T23:15:57-08:00,0,11
style.css,203,css,88a7de43,Nomin Batjargal,2025-02-08,23:47:14,-08:00,2025-02-08T23:47:14-08:00,0,48
style.css,204,css,88a7de43,Nomin Batjargal,2025-02-08,23:47:14,-08:00,2025-02-08T23:47:14-08:00,0,53
style.css,205,css,4dfd9a74,Nomin Batjargal,2025-01-17,23:43:15,-08:00,2025-01-17T23:43:15-08:00,0,0
index.js,1,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,72
index.js,2,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,55
index.js,3,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,43
index.js,4,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,61
index.js,5,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,55
index.js,6,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,52
index.js,7,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,61
index.js,8,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,18
index.js,9,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,25
index.js,10,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,3
index.js,11,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,55
index.js,12,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,55
index.js,13,js,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,49
